# Date: 19/07/01 ,Author: E.Hubble
# Wavelength (m) ,Observation: 19909,Observation: 27028,Observation: 16652,Observation: 31458,Observation: 47548,Observation: 21100,Observation: 11768,Observation: 36969,Observation: 36656,Observation: 14915,Observation: 16766,Observation: 18197,Observation: 30915,Observation: 41090,Observation: 48054,Observation: 39451,Observation: 36999,Observation: 23674,Observation: 23095,Observation: 30768,Observation: 31991,Observation: 31544,Observation: 38008,Observation: 16076,Observation: 43937,Observation: 42251,Observation: 36537,Observation: 15338,Observation: 23522,Observation: 47565
6.610000000000000029e-07,1.263116624921547242e+02,1.448320861444064747e+02,1.267053178573466994e+02,1.300284399190880151e+02,1.189080385250550052e+02,1.201241793586523556e+02,1.270200987812722673e+02,1.253624425598369925e+02,1.035437060247415673e+02,1.005572932366596035e+02,1.541815318629114131e+02,1.484167524242754723e+02,1.088585036034790505e+02,1.268803938700973220e+02,9.638041839049716941e+01,1.398733383501335084e+02,1.295562396623058703e+02,1.424075439628324204e+02,1.429129942452267983e+02,9.894403550287535154e+01,1.118306539401783937e+02,1.326545302490197571e+02,1.325793576420367117e+02,1.419870574824170149e+02,9.791691387173749206e+01,1.205579386996731017e+02,1.076301055370285127e+02,1.323940716066792902e+02,1.661896563982248267e+02,1.340860643237421925e+02
6.611000000000001163e-07,1.256558499343841646e+02,1.360425942713759184e+02,1.256395812791908355e+02,1.360794592542205237e+02,1.242908547479668044e+02,1.204620908198064484e+02,1.320289764964632866e+02,1.253811610919009212e+02,1.112409807485807676e+02,1.098800628882251260e+02,1.647315714371128195e+02,1.518331380740918348e+02,1.179710749971140302e+02,1.400489929634883026e+02,1.070057369172468782e+02,1.512829982146926682e+02,1.320316416782039823e+02,1.498459361479102085e+02,1.407470554813548631e+02,9.741379010137599437e+01,1.144961184520252857e+02,1.240211329680462597e+02,1.447159590785610419e+02,1.445545697934938687e+02,9.913325968672394595e+01,1.171096851219919301e+02,1.021032532511966195e+02,1.307807153517247230e+02,1.612569699572653974e+02,1.422575276439404206e+02
6.612000000000001238e-07,1.182092846508493551e+02,1.342046412765897401e+02,1.316684425859004079e+02,1.240998941356655934e+02,1.061198702553208904e+02,1.202606143191791261e+02,1.187531523335274670e+02,1.210902056788269903e+02,1.110109259132835433e+02,1.085296839130840567e+02,1.565647799119917352e+02,1.396517913280438279e+02,1.189358537768497825e+02,1.332318764629708028e+02,9.830603444229645049e+01,1.426408087990103866e+02,1.355250978447832608e+02,1.488048176638350810e+02,1.395908648817715800e+02,9.354061202281801002e+01,1.046920766232915412e+02,1.325386689037070198e+02,1.388007058499461550e+02,1.257602256464337245e+02,1.022954296742896503e+02,1.053933882205716088e+02,1.076395138148487689e+02,1.286865314465156303e+02,1.563352130588181410e+02,1.360802269121093389e+02
6.613000000000000254e-07,1.271350371117633244e+02,1.451465648563937805e+02,1.359147380448895603e+02,1.483837226114313808e+02,1.151839143260218492e+02,1.168363741558118818e+02,1.308413561622345469e+02,1.261369185524690266e+02,1.186381250252683373e+02,1.088601636701298645e+02,1.716030046998083094e+02,1.405835312790579792e+02,1.167205851540663843e+02,1.344908263723498862e+02,1.010852871012058927e+02,1.388933029782619997e+02,1.230305217174177983e+02,1.582915281890859376e+02,1.408810643258929929e+02,1.097994802667813588e+02,1.204238501683382196e+02,1.246402254135627032e+02,1.243354328432459539e+02,1.301654122275133432e+02,1.022000207589284457e+02,1.114418341851404364e+02,1.062312965367134154e+02,1.346857119057720240e+02,1.713847846739851661e+02,1.451630074843195928e+02
6.614000000000000330e-07,1.350439441097478834e+02,1.417867631101277652e+02,1.365336368071074844e+02,1.449283536660900040e+02,1.178540276262264399e+02,1.070214658995134585e+02,1.321304711690858369e+02,1.257058709044875400e+02,1.161010190012986811e+02,9.989058875413577709e+01,1.597396579516074553e+02,1.484891732179308690e+02,1.184395002975181654e+02,1.388076790677475287e+02,1.025560421218357448e+02,1.487879200304665801e+02,1.315580718927622854e+02,1.408244302887104880e+02,1.279686019290977583e+02,1.012763534812409034e+02,1.006992810733552659e+02,1.262372914803683841e+02,1.328897841078511419e+02,1.328108320718735058e+02,1.021402128421866564e+02,1.170404344973601098e+02,1.075267986810245873e+02,1.407182881698537642e+02,1.720886203530435523e+02,1.347231340039869849e+02
6.615000000000000405e-07,1.254827990883096334e+02,1.410636299175350814e+02,1.365529523488040127e+02,1.331233052803298449e+02,1.268391383129001326e+02,1.187713681341556651e+02,1.211673338576807737e+02,1.182127599240705109e+02,1.046569080579125028e+02,1.003869267464717012e+02,1.545631360934621910e+02,1.522933041242532113e+02,1.161977402068815621e+02,1.357590841694963331e+02,1.143245343341269802e+02,1.521941934176685152e+02,1.266176015090129710e+02,1.508758188750102534e+02,1.318962408668956812e+02,1.024460960425939788e+02,1.250476323821283273e+02,1.275236830391165199e+02,1.292336947984627500e+02,1.289498809242803361e+02,1.079152458113687203e+02,1.042969290159387299e+02,1.028228206079128171e+02,1.419623216567528914e+02,1.634667426229343903e+02,1.425072712868359872e+02
6.616000000000000480e-07,1.323899868192818872e+02,1.468260165005835916e+02,1.331707987089180278e+02,1.393315469557740869e+02,1.216959030913946123e+02,1.146474272064880608e+02,1.285301790591360884e+02,1.278112462012527715e+02,1.045829828332587397e+02,9.580019201226978964e+01,1.697417993968866483e+02,1.476636072872497323e+02,1.288537971103694986e+02,1.317424830519874774e+02,9.550259633916626001e+01,1.344843707842053391e+02,1.402536140282288954e+02,1.430749664715816039e+02,1.326987222513336917e+02,9.260182483600334535e+01,1.048076410136560099e+02,1.209313348373435986e+02,1.330756470877687718e+02,1.354064803451578882e+02,1.039483499342697996e+02,1.091399223307919328e+02,1.125393386122188986e+02,1.336364315173095747e+02,1.719320168777706499e+02,1.420666949705330353e+02
6.617000000000000555e-07,1.221254323520617930e+02,1.526783376082200618e+02,1.308019965371449587e+02,1.255912767974482449e+02,1.203447986524206499e+02,1.250714937361546220e+02,1.156256803594372116e+02,1.247317261507185435e+02,1.183968308832372998e+02,1.062068589130795857e+02,1.604356053148379146e+02,1.539368646878512550e+02,1.165884783224258143e+02,1.350005123018054007e+02,1.012660264294351720e+02,1.515130430675766320e+02,1.308189678279198631e+02,1.577232279681032026e+02,1.459217544626726806e+02,1.006375230030646151e+02,1.108659073454747386e+02,1.279253438788711463e+02,1.373030634433462183e+02,1.437759118421539597e+02,1.076291126063610477e+02,1.114792219261171624e+02,1.040905243744473267e+02,1.316235625399662581e+02,1.720713865358193289e+02,1.443600893786838526e+02
6.617999999999999571e-07,1.294153741401552224e+02,1.459633469548514881e+02,1.350413513725278563e+02,1.452918039686769021e+02,1.209875773293590981e+02,1.188478293195734636e+02,1.317319824890152233e+02,1.293665770043463681e+02,1.128486704727134935e+02,1.023390845582270146e+02,1.623973550484985822e+02,1.505598399555952369e+02,1.079864942390600646e+02,1.383809858766390164e+02,1.045145818029358082e+02,1.367857875095854467e+02,1.260923254490892020e+02,1.441027407805558482e+02,1.440118028454191403e+02,9.480537378187349873e+01,1.167958608273968935e+02,1.225021021885381884e+02,1.268620137442621427e+02,1.434545151872099780e+02,1.125639435014278718e+02,1.115018604897588546e+02,1.142496569829890802e+02,1.223522650050734342e+02,1.765487917777868461e+02,1.357840342869160963e+02
6.619000000000000705e-07,1.226083692286467368e+02,1.371804278787209626e+02,1.381932899411372375e+02,1.341784722563368462e+02,1.278335352659468214e+02,1.138397084937909938e+02,1.301827635420685567e+02,1.297647646331200804e+02,1.043467085061060402e+02,1.034894534763001275e+02,1.559506305310782182e+02,1.505302186701689493e+02,1.127677359688913015e+02,1.317657164943501584e+02,1.046243205191375125e+02,1.387240508423572578e+02,1.247816889926157131e+02,1.441064343293984393e+02,1.327628317268987814e+02,1.011512260292564918e+02,1.076235143621200621e+02,1.288221904989436553e+02,1.424858023297574903e+02,1.298373970516295515e+02,1.019481551982302818e+02,1.194585530540677354e+02,9.113752181857120149e+01,1.384102699031251404e+02,1.712703521726766382e+02,1.454952376075870575e+02
6.620000000000000780e-07,1.349581108992030920e+02,1.433143599454790262e+02,1.310486539750166060e+02,1.428613277769342744e+02,1.268664130004818418e+02,1.122980449737630124e+02,1.268560211376022977e+02,1.360051785256189874e+02,1.124806938177278823e+02,1.149009978560902709e+02,1.663126973292109483e+02,1.464638109687207361e+02,1.034563398766644582e+02,1.390822367517134808e+02,1.028667328101702481e+02,1.333765982864014745e+02,1.271600795275174107e+02,1.543467082700459230e+02,1.314625949260621383e+02,1.003992517202350712e+02,1.105101948368330227e+02,1.227123835718224143e+02,1.260594092213616619e+02,1.460186080574898426e+02,1.050828296649932980e+02,1.103155257663051998e+02,1.032719973637943269e+02,1.268481289548361417e+02,1.743631192618109651e+02,1.428982445087460462e+02
6.621000000000000856e-07,1.261346104780797930e+02,1.583816024900521882e+02,1.387083273727776316e+02,1.353360475311563960e+02,1.229839592568785775e+02,1.187777943209518270e+02,1.311670389510159396e+02,1.252460930735151550e+02,1.295867551628556953e+02,1.034118015475258545e+02,1.589875156666275871e+02,1.480254896272238625e+02,1.244937848620671730e+02,1.311891275062890259e+02,1.024294845325068906e+02,1.432792348988585616e+02,1.306182432399585878e+02,1.624647981771861396e+02,1.391901375894038608e+02,9.526738810850886807e+01,1.062222737458490514e+02,1.133656710291577099e+02,1.142224393555009101e+02,1.386380839781721193e+02,1.045371737263564142e+02,1.069056583701614329e+02,1.149688005358194545e+02,1.359071052401583586e+02,1.674944799525337658e+02,1.462839289436192871e+02
6.622000000000000931e-07,1.264142768703972166e+02,1.414833325425424562e+02,1.284984289021307973e+02,1.351175277455781156e+02,1.131278504831539067e+02,1.205578323051383478e+02,1.252500176087761616e+02,1.233328118090038430e+02,1.096315703074524919e+02,1.044381793661041797e+02,1.617472359567249214e+02,1.423321026843613311e+02,1.037780615913532216e+02,1.264395625009372850e+02,1.067175319973636363e+02,1.294926791985504337e+02,1.262011387304070951e+02,1.597446838435097618e+02,1.359664132454706760e+02,9.543511867099820734e+01,1.024655957128880743e+02,1.285580885909946574e+02,1.391353701715704574e+02,1.407001062071247190e+02,1.008388724140007895e+02,1.154637492224445623e+02,9.201078055868742922e+01,1.369491160556351304e+02,1.689397700885859592e+02,1.406909965126545217e+02
6.622999999999999947e-07,1.183248113483381871e+02,1.474001585194204154e+02,1.304736941293617178e+02,1.364538305040915134e+02,1.228410703888859530e+02,1.050691630164492665e+02,1.287874424797869040e+02,1.280272028946799878e+02,1.099860668270205935e+02,1.038584245875905481e+02,1.522660807276893991e+02,1.372467856581046135e+02,1.119879735652458805e+02,1.379201743084697682e+02,1.078006881804015933e+02,1.391390886910453162e+02,1.232539552473906923e+02,1.424046795690755971e+02,1.297773118215087322e+02,1.040278461565383594e+02,1.194532954982570629e+02,1.293098219939558930e+02,1.311638496051369316e+02,1.361728231737057229e+02,1.069840596771564805e+02,1.093995187927323656e+02,9.814834556151589595e+01,1.295748506029972873e+02,1.827925110740005152e+02,1.565494905245896859e+02
6.624000000000000022e-07,1.184849422789286422e+02,1.430213293176856837e+02,1.323867142820429592e+02,1.358555890235047059e+02,1.245954201534318173e+02,1.072202516432844135e+02,1.303444073445875233e+02,1.230826767385336780e+02,1.174871065590423598e+02,9.610651022285992440e+01,1.681941253777141014e+02,1.411839855571627709e+02,1.118053738855260804e+02,1.262556871771449778e+02,1.038818063102433200e+02,1.410558407760992168e+02,1.321177932541872337e+02,1.498948412059059763e+02,1.336751527320228945e+02,1.048484425016070247e+02,1.176989742726258896e+02,1.187003006384389181e+02,1.313814610004490646e+02,1.359615905852299420e+02,1.105959940931015666e+02,1.103429476722112810e+02,1.100795078110293161e+02,1.378577873302005514e+02,1.674538958920005882e+02,1.394653210406210349e+02
6.625000000000000097e-07,1.303256013389093937e+02,1.474201629189672644e+02,1.317390864181098777e+02,1.426303891779633091e+02,1.180168702558120799e+02,1.235772696907235542e+02,1.236814692471557180e+02,1.234657871955491686e+02,1.106435526262935269e+02,9.674526535581127007e+01,1.623986510904537965e+02,1.523393345094370659e+02,1.273523498978365751e+02,1.382841959233008993e+02,9.945041070132289462e+01,1.412548720848436972e+02,1.306741783852680783e+02,1.539681383346229779e+02,1.418471117802153003e+02,1.024435666970669701e+02,1.073563974967545391e+02,1.261629285285291076e+02,1.272268727415803369e+02,1.386838389756539129e+02,1.011945519779274889e+02,1.007076212037187446e+02,1.090186786901917912e+02,1.370070977087627284e+02,1.624454327515076955e+02,1.472274908240419791e+02
6.626000000000000172e-07,1.300550659911255309e+02,1.600818574903763363e+02,1.248950380862485900e+02,1.335225155569497986e+02,1.098209712029481722e+02,1.202521340274761315e+02,1.225488418972593365e+02,1.280500047746295138e+02,1.147088125591798615e+02,1.047274957095804950e+02,1.660659338407272685e+02,1.476450346459768355e+02,1.162939606453204391e+02,1.381294067269058417e+02,9.843731182654562417e+01,1.481334045428662023e+02,1.070615764560309344e+02,1.600647215438699789e+02,1.395947946282699093e+02,1.008331396066945018e+02,1.163668632698380208e+02,1.230590976303913919e+02,1.342262797135762753e+02,1.425643441467074126e+02,1.062444027313916592e+02,1.106864978850264407e+02,1.102988194217583526e+02,1.304105827775915998e+02,1.693769750565564323e+02,1.427760810965981193e+02
6.627000000000001306e-07,1.247914391790276056e+02,1.518026040124098586e+02,1.262108660819211536e+02,1.402292251550370281e+02,1.362079954233127239e+02,1.113885410131397293e+02,1.259043906197449303e+02,1.199330240152324905e+02,1.150716749214698069e+02,1.100573090809842967e+02,1.645188329346561602e+02,1.509753187355284467e+02,1.140718488519331686e+02,1.409174021395553211e+02,9.296259845150093781e+01,1.474258234002952008e+02,1.270860280301855596e+02,1.514594515411606892e+02,1.298732729481773447e+02,8.963469267655260353e+01,1.084933137316196508e+02,1.333959374718014885e+02,1.350929844268209763e+02,1.280202892245540056e+02,1.030818533938795412e+02,1.185833816886159866e+02,1.145383020436077146e+02,1.392249978878060404e+02,1.769436976796034742e+02,1.482597440416993493e+02
6.628000000000000323e-07,1.336476011592679072e+02,1.452256186404822813e+02,1.341817174066782172e+02,1.393453313083552416e+02,1.208669939521061423e+02,1.182982775267775253e+02,1.387170946399603224e+02,1.193507951719706881e+02,1.138260006260185406e+02,1.103414002772040590e+02,1.585344351332059603e+02,1.626046214806511614e+02,1.088556526258504249e+02,1.304666661877067497e+02,1.093744344383048315e+02,1.356246424156700527e+02,1.299497788033779955e+02,1.454569441930229914e+02,1.290867201832305966e+02,9.846929224542135728e+01,1.064338735475278241e+02,1.296170861545292325e+02,1.284943484489670880e+02,1.367319628024550298e+02,9.383760194037940039e+01,1.172311828766393234e+02,1.058715202666052875e+02,1.529981204356213027e+02,1.615723550327478790e+02,1.386677671509752372e+02
6.629000000000000398e-07,1.249434345487751301e+02,1.477129907787477805e+02,1.355407506622202902e+02,1.386109465369297595e+02,1.129061313602502565e+02,1.223504040608932115e+02,1.374013028831972747e+02,1.154234157457918855e+02,1.049376981767692740e+02,9.677397025281112519e+01,1.540617277035625818e+02,1.411972012869112518e+02,1.177110741088933423e+02,1.321509385823731861e+02,1.077825356767833398e+02,1.357472721685788031e+02,1.302526316711008576e+02,1.498201617867316600e+02,1.419117355252026869e+02,9.318693133449687593e+01,1.100709968540796382e+02,1.209359292870687312e+02,1.305469401862800680e+02,1.380868427332675878e+02,1.082995437168992794e+02,1.124904516238663064e+02,9.747278946673412747e+01,1.320928319133683715e+02,1.753892046329529535e+02,1.469882310602832547e+02
6.630000000000000473e-07,1.228174107056148330e+02,1.563463611548519339e+02,1.215015016637389351e+02,1.322283940150159083e+02,1.259808592170254258e+02,1.239536094806522328e+02,1.311003396423915888e+02,1.194038629134075506e+02,1.127778351487047104e+02,9.984040176674909617e+01,1.622614678227207321e+02,1.521649828770603676e+02,1.269391459604041756e+02,1.300937135414992838e+02,1.029370093197783120e+02,1.465098413759533287e+02,1.299517878208808099e+02,1.450327095495665901e+02,1.282270168901085583e+02,9.903059870719414448e+01,1.123095181892666687e+02,1.218553612200651912e+02,1.204164701845633232e+02,1.339190717578797489e+02,9.869319803232514232e+01,1.297946140913039414e+02,9.907344180946734014e+01,1.374097718832886983e+02,1.768828177245285929e+02,1.495506839078384473e+02
6.631000000000000548e-07,1.275429472010485483e+02,1.455350410406398396e+02,1.276370432168010893e+02,1.327381003979535308e+02,1.184504734892127544e+02,1.182373549381473197e+02,1.392972132166165125e+02,1.225924178287040434e+02,1.146103979473373329e+02,1.015614513025311538e+02,1.738808839254361942e+02,1.434299126991673745e+02,1.188538572607800887e+02,1.274898780345607747e+02,9.689318841324316622e+01,1.467229775250752084e+02,1.280898793877718447e+02,1.508140020590651034e+02,1.416277771748661394e+02,1.023699515008939898e+02,1.078969869231253540e+02,1.220494652251129111e+02,1.212373932150554481e+02,1.307038580851766199e+02,1.127941414586319695e+02,1.055340102315555271e+02,1.096635208217978033e+02,1.412351571565386905e+02,1.711353685112463268e+02,1.492737162209216137e+02
6.632000000000000623e-07,1.301109239991822051e+02,1.497965733082079964e+02,1.204525612489186983e+02,1.442710543730789823e+02,1.157941828854974489e+02,1.165852273973753626e+02,1.376172894342099369e+02,1.210854724571069028e+02,9.834000146714762991e+01,1.033196339996347746e+02,1.659954951089901556e+02,1.428397116053087643e+02,1.126256950286302185e+02,1.309579914790382134e+02,9.155450245497513606e+01,1.389681173635282221e+02,1.331012666992925517e+02,1.503361175229597109e+02,1.457901929265055401e+02,1.060490042786462368e+02,1.201319149741167678e+02,1.243370346491141305e+02,1.409201946976853606e+02,1.475989001570328298e+02,1.145800841243410275e+02,1.074998475120632548e+02,1.054833444388609536e+02,1.426244105150807968e+02,1.655532671383365937e+02,1.511474473230750846e+02
6.632999999999999639e-07,1.312778170978315018e+02,1.543310463922024098e+02,1.305545556627239137e+02,1.281718750218846026e+02,1.167627648636867832e+02,1.154955568198364659e+02,1.348753572614628240e+02,1.280366949547494073e+02,1.052456514929022688e+02,1.028365086190077449e+02,1.669300030000881065e+02,1.385939841878661696e+02,1.255650082985886229e+02,1.282989694362690329e+02,1.013648076693917943e+02,1.305250258741952507e+02,1.305488289905244699e+02,1.595715190044824396e+02,1.357099952187156191e+02,9.500652581804348529e+01,1.079385800344966242e+02,1.282175781800364689e+02,1.242823618426782559e+02,1.270509265229616602e+02,9.731350745993327678e+01,1.066582718075154190e+02,1.004058609723525421e+02,1.383612704132421811e+02,1.713871959694282907e+02,1.397698445028068761e+02
6.633999999999999715e-07,1.210329796620614502e+02,1.508713607901644025e+02,1.300283417343026997e+02,1.476445448710277617e+02,1.156190438290556273e+02,1.163476426980552390e+02,1.323326216944671501e+02,1.304403276324141245e+02,1.112297342134483387e+02,1.016119675901515507e+02,1.690548502259639747e+02,1.360507351610163767e+02,1.192628243000993109e+02,1.287242870312888385e+02,1.059937097844074287e+02,1.355191944530712078e+02,1.216850373563594019e+02,1.575264018529321390e+02,1.427395551572999466e+02,9.505108508492129715e+01,1.180501457496742148e+02,1.355161605683956054e+02,1.287039694746262342e+02,1.434348147260278949e+02,9.669757774051349486e+01,1.144572895790941800e+02,9.864558107343705728e+01,1.376851265260313255e+02,1.726437360796597886e+02,1.432547617717075354e+02
6.635000000000000849e-07,1.331119145821938048e+02,1.455523814133549365e+02,1.261366787748108180e+02,1.509065996955761193e+02,1.293364656369391525e+02,1.198015819107251474e+02,1.296046612661435802e+02,1.227751359115571148e+02,1.108194996667442496e+02,9.541112328610161342e+01,1.729413299922053966e+02,1.331806294223150360e+02,1.199285169524208072e+02,1.384686133055897415e+02,1.142648303689525733e+02,1.338478484422922747e+02,1.309125973315780698e+02,1.494340057369302315e+02,1.318870845743645930e+02,1.035773147068541675e+02,1.115543459962735966e+02,1.406380518349563147e+02,1.378835667970998315e+02,1.378944339749828316e+02,1.014699145712568367e+02,1.145507551272284559e+02,1.080887133445333461e+02,1.419134494709355465e+02,1.801156531502978737e+02,1.511243897719383256e+02
